,mean(|SHAP value|)
CurrentEquipmentDays,0.3481181191104796
MonthsInService,0.24784225115360164
TotalRecurringCharge,0.12665846096107625
PeakCallsInOut,0.12211597945107901
MonthlyRevenue,0.11013474351242476
Age,0.11003274198581343
InboundCalls,0.10600192767376677
OutboundCalls,0.10200176311656008
PercChangeRevenues,0.09852676997312684
Handsets,0.09547698595158334
OverageMinutes,0.08990530173168935
UnansweredCalls,0.06915390184604911
DirectorAssistedCalls,0.06846516329897756
UniqueSubs,0.06465378689648622
CustomerCareCalls,0.06313925434049127
CallWaitingCalls,0.05417573916073144
RoamingCalls,0.047375583870228846
SubsRatio,0.0468812216053401
Division_west,0.03414457798760043
MaritalStatus_No,0.03409860604373442
PrizmCode_Town,0.0256744034776138
ThreewayCalls,0.022513138891577727
Division_midwest,0.021175585465421195
PrizmCode_Suburban,0.019384175086032438
PrizmCode_Rural,0.016202505519819346
MaritalStatus_Unknown,0.014853751312263118
Division_south,0.012591794771372998
MaritalStatus_Yes,0.011288915138533435
Division_northeast,0.01091708523127933
PrizmCode_Other,0.010335324102576728
CallForwardingCalls,0.0007772455588687479
